id,url,price,description,city,date
733908008,https://www.olx.ua/d/uk/obyavlenie/arenda-2k-kvartiry-zhk-parkova-vezha-krasnopolskaya-2-g-bez-IDNFoZV.html,13 999 грн.,"Аренда 2к квартиры ЖК Паркова Вежа, Краснопольская 2-Г, без %%%",Kiev,2021-12-18
733907998,https://www.olx.ua/d/uk/obyavlenie/sdadim-parnyu-komnatu-v-2-kom-kvartire-na-vozduhoflotskom-prospekte-8-IDNFoZM.html,7 577 грн.,"Сдадим парню комнату в 2-ком. квартире на Воздухофлотском проспекте,8.",Kiev,2021-12-18
730711952,https://www.olx.ua/d/uk/obyavlenie/sdaetsya-odnokomnatnaya-kvartira-IDNrZyE.html,11 500 грн.,"Сдается однокомнатная квартира,",Kiev,2021-12-18
733907031,https://www.olx.ua/d/uk/obyavlenie/sdam-2h-komnatnuyu-kvartiru-scherbakovskogo-51-IDNFoKb.html,12 000 грн.,"Сдам 2х комнатную квартиру Щербаковского, 51",Kiev,2021-12-18
733905564,https://www.olx.ua/d/uk/obyavlenie/arenda-kvartira-ul-nezhinskaya-karavaevy-dachi-g-kiev-IDNFomv.html,9 000 грн.,"Аренда / Квартира / ул. Нежинская, Караваевы дачи, г. Киев",Kiev,2021-12-18
703517171,https://www.olx.ua/d/uk/obyavlenie/uyutnaya-2-h-komnatnaya-dvuhyarusnaya-smart-kvartira-v-klubnom-dome-IDLBSX9.html,12 600 грн.,Уютная 2-х комнатная двухярусная смарт-квартира в клубном доме.,Kiev,2021-12-18
733904060,https://www.olx.ua/d/uk/obyavlenie/park-avenue-vidovaya-prostornaya-2h-kom-kvartira-65m-kv-tsentr-IDNFnYg.html,32 708 грн.,Park Avenue Видовая Просторная 2х ком.квартира.65м.кв.Центр.,Kiev,2021-12-18
714163344,https://www.olx.ua/d/uk/obyavlenie/zdam-v-orendu-odnokmnatnu-kvartiru-IDMkywC.html,6 900 грн.,Здам в оренду однокімнатну квартиру,Kiev,2021-12-18
726918729,https://www.olx.ua/d/uk/obyavlenie/arenda-1-komntanoy-kvartiry-na-krushelnitskoy-15a-IDNc4LD.html,14 000 грн.,Аренда 1 комнтаной квартиры на Крушельницкой 15а,Kiev,2021-12-18
733903613,https://www.olx.ua/d/uk/obyavlenie/sdam-kvartiru-kiev-iordanskaya-ul-IDNFnR3.html,13 000 грн.,"Сдам квартиру Киев, Иорданская ул.",Kiev,2021-12-18
728088754,https://www.olx.ua/d/uk/obyavlenie/arenda-kvartiry-s-dizaynerskim-remontom-v-zhk-bulvar-fontanov-bez-IDNgZ90.html,136 283 грн.,"Аренда квартиры с дизайнерским ремонтом в ЖК Бульвар Фонтанов, Без %",Kiev,2021-12-18
728517632,https://www.olx.ua/d/uk/obyavlenie/bez-osokorki-river-stone-yuzhnye-vrata-arenda-2-k-kvartiry-IDNiMIo.html,22 000 грн.,"Без % /Осокорки ,  «River Stone»  , «Южные Врата»/ Аренда 2 к квартиры",Kiev,2021-12-18
732711224,https://www.olx.ua/d/uk/obyavlenie/arenda-ot-mesyatsa-v-zhk-pokrovskiy-posad-IDNAnEY.html,24 500 грн.,Аренда от месяца в ЖК Покровский Посад,Kiev,2021-12-18
731211394,https://www.olx.ua/d/uk/obyavlenie/dvrz-arenda-uyutnoy-prostornoy-razdelnoy-2-k-na-senomanskom-per-16-IDNu5ua.html,12 000 грн.,"ДВРЗ. Аренда уютной, просторной, раздельной  2-к на Сеноманском пер.16",Kiev,2021-12-18
732677473,https://www.olx.ua/d/uk/obyavlenie/chavdar-3-metro-osokorki-3-minuty-IDNAeSB.html,17 000 грн.,Чавдар 3 метро Осокорки 3 минуты,Kiev,2021-12-18
729073356,https://www.olx.ua/d/uk/obyavlenie/arenda-3-komn-ul-dzhona-makkeyna-ivana-kudri-9-m-lybidskaya-IDNl7hG.html,11 000 грн.,"Аренда  3 комн. ул. Джона Маккейна( Ивана Кудри),9. м. Лыбидская",Kiev,2021-12-18
733636516,https://www.olx.ua/d/uk/obyavlenie/arenda-4k-antonovicha-bolshaya-vasilkovskaya-dvorets-ukraina-nyu-york-IDNEgn2.html,28 000 грн.,"Аренда 4к Антоновича, Большая Васильковская, Дворец Украина, Нью Йорк",Kiev,2021-12-18
733028458,https://www.olx.ua/d/uk/obyavlenie/arenda-prostornoy-2k-kvartiry-laboratornyy-22-pecherskaya-15-min-IDNBIbE.html,12 000 грн.,"Аренда просторной 2к квартиры,Лабораторный 22,Печерская 15 мин",Kiev,2021-12-18
733902323,https://www.olx.ua/d/uk/obyavlenie/goloseevskiy-pr-kt-58a-zhk-park-avenyu-2-k-65-kv-m-bez-komissii-IDNFnvf.html,32 708 грн.,"Голосеевский пр-кт 58а, ЖК «Парк Авеню». 2-к., 65 кв.м. Без комиссии!",Kiev,2021-12-18
702847323,https://www.olx.ua/d/uk/obyavlenie/zhk-parus-uyutnaya-2-k-kvartira-na-obolonskoy-naberezhnoy-park-natalka-IDLz4H9.html,20 000 грн.,"ЖК Парус,уютная 2-к квартира на Оболонской набережной,парк Наталка",Kiev,2021-12-18
733901815,https://www.olx.ua/d/uk/obyavlenie/arenda-1k-kolosa-vilyamsa-ryadom-parklend-teremki-2-vasilkovskaya-IDNFno3.html,8 000 грн.,"Аренда 1к Колоса, Вильямса, рядом Паркленд, Теремки 2 Васильковская",Kiev,2021-12-18
733900749,https://www.olx.ua/d/uk/obyavlenie/sdayu-kvartiru-metro-darnitsa-5-minut-peshkom-stilnaya-studiya-IDNFn6R.html,8 500 грн.,Сдаю квартиру метро Дарница 5 минут пешком. Стильная Студия!,Kiev,2021-12-18
728210604,https://www.olx.ua/d/uk/obyavlenie/pechersk-m-druzhby-narodov-ul-chigorina-IDNhuQk.html,14 000 грн.,"Печерск, м. Дружбы Народов, ул. Чигорина",Kiev,2021-12-18
682813255,https://www.olx.ua/d/uk/obyavlenie/sdam-1k-kvartiru-IDKd0W1.html,10 000 грн.,Сдам 1к квартиру,Kiev,2021-12-18
728931920,https://www.olx.ua/d/uk/obyavlenie/pervaya-sdacha-2-kom-kvartira-bul-perova-40b-IDNkvus.html,11 500 грн.,Первая сдача!!! 2 ком. квартира бул. Перова 40б,Kiev,2021-12-18
733897087,https://www.olx.ua/d/uk/obyavlenie/zdayu-v-erendu-kvartiru-studyu-25-m-IDNFm9N.html,11 000 грн.,Здаю в еренду квартиру студію 25 м,Kiev,2021-12-18
733898030,https://www.olx.ua/d/uk/obyavlenie/bazhana-1-k-horoshaya-kvartira-metro-harkovskaya-dekabristov-IDNFmp0.html,7 500 грн.,"Бажана, 1-к хорошая квартира, метро Харьковская Декабристов",Kiev,2021-12-18
710424043,https://www.olx.ua/d/uk/obyavlenie/sdam-1-komnatnuyu-smart-kvartiru-4500-griven-IDM4RKj.html,4 500 грн.,Сдам 1 комнатную смарт квартиру 4500 гривен,Kiev,2021-12-18
731191990,https://www.olx.ua/d/uk/obyavlenie/sdam-dvuhkomnatnuyu-ul-m-krivonosa-sevastopolskaya-ploschad-IDNu0rc.html,10 000 грн.,"Сдам двухкомнатную, ул. М. Кривоноса, Севастопольская площадь",Kiev,2021-12-18
733897186,https://www.olx.ua/d/uk/obyavlenie/dizaynerskaya-2k-kv-77m2-zhk-aurum-shevchenkovskiy-r-n-tsentr-IDNFmbo.html,54 513 грн.,"Дизайнерская 2к кв (77м2) ЖК Аурум, Шевченковский р-н, Центр",Kiev,2021-12-18
733896887,https://www.olx.ua/d/uk/obyavlenie/arenda-1-k-kvartiry-po-ul-50ya-sadovaya-126-metro-osokorki-IDNFm6z.html,8 990 грн.,Аренда 1 к. квартиры по ул. 50я Садовая 126 метро Осокорки,Kiev,2021-12-18
733020370,https://www.olx.ua/d/uk/obyavlenie/arenda-prospekt-pravdy-vinogradar-porika-IDNBG5c.html,8 990 грн.,"Аренда проспект Правды , Виноградарь, Порика",Kiev,2021-12-18
733554506,https://www.olx.ua/d/uk/obyavlenie/sdam-1-komnatnuyu-smart-kvartiru-4000-griven-komunalnye-uzhe-vklyucheny-IDNDW2i.html,4 000 грн.,Сдам 1 комнатную смарт квартиру 4000 гривен комунальные уже включены,Kiev,2021-12-18
733895361,https://www.olx.ua/d/uk/obyavlenie/arenda-2k-kv-metro-geroev-dnepra-IDNFlHX.html,13 000 грн.,Аренда 2к кв Метро Героев Днепра,Kiev,2021-12-18
733516056,https://www.olx.ua/d/uk/obyavlenie/1k-so-stilnym-remontom-zhk-novaya-angliya-dom-birmingem-arenda-kvart-IDNDL28.html,17 500 грн.,"1к со Стильным Ремонтом, ЖК Новая Англия, дом Бирмингем, аренда кварт",Kiev,2021-12-18
675821832,https://www.olx.ua/d/uk/obyavlenie/sdam-1-kom-kvartiru-maydan-nezavisimosti-mozhno-na-mesyats-dva-IDJJG88.html,15 000 грн.,"Сдам 1 ком квартиру Майдан Независимости . Можно на месяц , два",Kiev,2021-12-18
696270792,https://www.olx.ua/d/uk/obyavlenie/sdam-2ku-ul-a-mishugi-3-m-poznyaki-ot-hozyaina-IDL7tQ4.html,17 000 грн.,"Сдам 2ку , ул. А. Мишуги 3, м.Позняки. От хозяина!",Kiev,2021-12-18
733330104,https://www.olx.ua/d/uk/obyavlenie/arenda-uyutnoy-1-kom-kvartiry-novyy-dom-metrologicheskaya-23-IDNCYEU.html,11 500 грн.,Аренда уютной 1 ком квартиры. Новый дом. Метрологическая 23.,Kiev,2021-12-18
732949350,https://www.olx.ua/d/uk/obyavlenie/bolshaya-studiya-novaya-angliya-44-kv-m-IDNBnBI.html,16 000 грн.,Большая Студия Новая Англия 44 кв.м,Kiev,2021-12-18
729326760,https://www.olx.ua/d/uk/obyavlenie/sdam-v-arendu-2-yu-kv-kiev-vinogradar-podolskiy-pr-svobody-IDNmbcQ.html,10 000 грн.,"сдам в аренду 2-ю кв, киев, виноградарь, подольский, пр.свободы",Kiev,2021-12-18
732355250,https://www.olx.ua/d/uk/obyavlenie/podol-tsentr-dizaynerskaya-3-komnatnaya-mezhigorskaya-61-IDNyT3s.html,35 433 грн.,"Подол, центр, дизайнерская 3 комнатная, Межигорская, 61",Kiev,2021-12-18
733894577,https://www.olx.ua/d/uk/obyavlenie/srochno-2k-kvartira-m-v-novaya-darnitsa-harkovskoe-shosse-21-3-IDNFlwj.html,9 000 грн.,"Срочно! 2к квартира (м-в Новая Дарница, Харьковское шоссе 21/3)",Kiev,2021-12-18
